State,Year,Month,Value
Alabama,2014,April,3
Alabama,2014,August,0
Alabama,2014,December,0
Alabama,2014,February,28
Alabama,2014,January,17
Alabama,2014,July,0
Alabama,2014,June,0
Alabama,2014,March,31
Alabama,2014,May,0
Alabama,2014,November,0
Alabama,2014,October,0
Alabama,2014,September,0
Alabama,2014,September,0
Alabama,2015,April,30
Alabama,2015,August,0
Alabama,2015,December,0
Alabama,2015,February,0
Alabama,2015,January,0
Alabama,2015,July,0
Alabama,2015,June,4
Alabama,2015,March,28
Alabama,2015,May,31
Alabama,2015,November,0
Alabama,2015,October,0
Alabama,2015,September,0
Alabama,2015,September,0
Alabama,2016,April,30
Alabama,2016,August,0
Alabama,2016,December,0
Alabama,2016,February,27
Alabama,2016,January,0
Alabama,2016,July,0
Alabama,2016,June,0
Alabama,2016,March,31
Alabama,2016,May,3
Alabama,2016,November,0
Alabama,2016,October,0
Alabama,2016,September,0
Alabama,2016,September,0
Alabama,2017,April,30
Alabama,2017,August,0
Alabama,2017,December,0
Alabama,2017,February,21
Alabama,2017,January,0
Alabama,2017,July,0
Alabama,2017,June,0
Alabama,2017,March,31
Alabama,2017,May,19
Alabama,2017,November,0
Alabama,2017,October,0
Alabama,2017,September,0
Alabama,2017,September,0
Alabama,2018,April,30
Alabama,2018,August,31
Alabama,2018,December,31
Alabama,2018,February,29
Alabama,2018,January,22
Alabama,2018,July,31
Alabama,2018,June,30
Alabama,2018,March,29
Alabama,2018,May,31
Alabama,2018,November,30
Alabama,2018,October,31
Alabama,2018,September,30
Alabama,2018,September,30
Alabama,2019,April,30
Alabama,2019,August,0
Alabama,2019,December,0
Alabama,2019,February,0
Alabama,2019,January,0
Alabama,2019,July,0
Alabama,2019,June,0
Alabama,2019,March,26
Alabama,2019,May,31
Alabama,2019,November,0
Alabama,2019,October,0
Alabama,2019,September,0
Alabama,2019,September,0
Alaska,2014,April,25
Alaska,2014,August,0
Alaska,2014,December,0
Alaska,2014,February,28
Alaska,2014,January,10
Alaska,2014,July,0
Alaska,2014,June,0
Alaska,2014,March,31
Alaska,2014,May,0
Alaska,2014,November,0
Alaska,2014,October,0
Alaska,2014,September,0
Alaska,2014,September,0
Alaska,2015,April,28
Alaska,2015,August,0
Alaska,2015,December,0
Alaska,2015,February,28
Alaska,2015,January,11
Alaska,2015,July,0
Alaska,2015,June,0
Alaska,2015,March,31
Alaska,2015,May,0
Alaska,2015,November,0
Alaska,2015,October,0
Alaska,2015,September,0
Alaska,2015,September,0
Alaska,2016,April,30
Alaska,2016,August,0
Alaska,2016,December,0
Alaska,2016,February,29
Alaska,2016,January,12
Alaska,2016,July,0
Alaska,2016,June,0
Alaska,2016,March,31
Alaska,2016,May,18
Alaska,2016,November,0
Alaska,2016,October,0
Alaska,2016,September,0
Alaska,2016,September,0
Alaska,2017,April,30
Alaska,2017,August,0
Alaska,2017,December,0
Alaska,2017,February,28
Alaska,2017,January,14
Alaska,2017,July,0
Alaska,2017,June,0
Alaska,2017,March,31
Alaska,2017,May,17
Alaska,2017,November,0
Alaska,2017,October,0
Alaska,2017,September,0
Alaska,2017,September,0
Alaska,2018,April,30
Alaska,2018,August,0
Alaska,2018,December,0
Alaska,2018,February,28
Alaska,2018,January,15
Alaska,2018,July,0
Alaska,2018,June,0
Alaska,2018,March,31
Alaska,2018,May,13
Alaska,2018,November,0
Alaska,2018,October,0
Alaska,2018,September,0
Alaska,2018,September,0
Alaska,2019,April,30
Alaska,2019,August,0
Alaska,2019,December,0
Alaska,2019,February,28
Alaska,2019,January,16
Alaska,2019,July,0
Alaska,2019,June,0
Alaska,2019,March,31
Alaska,2019,May,15
Alaska,2019,November,0
Alaska,2019,October,0
Alaska,2019,September,0
Alaska,2019,September,0
Arizona,2014,April,24
Arizona,2014,August,0
Arizona,2014,December,0
Arizona,2014,February,28
Arizona,2014,January,18
Arizona,2014,July,0
Arizona,2014,June,0
Arizona,2014,March,31
Arizona,2014,May,0
Arizona,2014,November,0
Arizona,2014,October,0
Arizona,2014,September,0
Arizona,2014,September,0
Arizona,2015,April,3
Arizona,2015,August,0
Arizona,2015,December,0
Arizona,2015,February,28
Arizona,2015,January,19
Arizona,2015,July,0
Arizona,2015,June,0
Arizona,2015,March,31
Arizona,2015,May,0
Arizona,2015,November,0
Arizona,2015,October,0
Arizona,2015,September,0
Arizona,2015,September,0
Arizona,2016,April,30
Arizona,2016,August,0
Arizona,2016,December,0
