State,Year,Convene,Adjourn,Convene_S,Adjourn_S,Bills Introduced,Bills Completed
Alabama,2019,"March 5, 2019",5/31/2019,,,,
Alabama,2018,01/09/2018,03/29/2020,,,,
Alabama,2016,2-Feb-16,3-May-16,,,1518,665
Alabama,2015,3-Mar-15,4-Jun-15,,,1604,796
Alabama,2014,14-Jan-14,3-Apr-14,,,,
Alabama,2017,"February 7, 2017","May 19, 2017",,,,
Alaska,2019,1/15/2019,5/15/2019,,,,
Alaska,2018,1/16/2018,5/13/2018,,,,
Alaska,2016,19-Jan-16,18-May-16,,,,
Alaska,2015,20-Jan-15,28-Apr-15,,,,
Alaska,2014,21-Jan-14,25-Apr-14,,,,
Alaska,2017,"January 17, 2017","May 17, 2017",,,,
Arizona,2019,1/14/2019,5/28/2019,,,,
Arizona,2018,1/8/2018,5/4/2018,,,,
Arizona,2016,11-Jan-16,7-May-16,,,,
Arizona,2015,12-Jan-15,3-Apr-15,,,,
Arizona,2014,13-Jan-14,24-Apr-14,,,,
Arizona,2017,"January 9, 2017","May 10, 2017",,,,
Arkansas,2019,1/14/2019,4/24/2019,,,,
Arkansas,2018,2/12/2018,3/12/2018,,,,
Arkansas,2016,13-Apr-16,9-May-16,,,,
Arkansas,2015,12-Jan-15,22-Apr-15,,,,
Arkansas,2014,"Feb. 10, 2014",19-Mar-14,,,,
Arkansas,2017,"January 9, 2017","May 1, 2017",,,,
California,2019,1/7/2019,9/13/2019,,,,
California,2018,1/1/2018,8/31/2018,,,,
California,2016,4-Jan-16,31-Aug-16,,,,
California,2015,1-Jan-15,11-Sep-15,,,,
California,2014,"Jan. 6, 2014","Nov. 30, 2014",,,,
California,2017,"January 1, 2017","September 15, 2017",,,,
Colorado,2019,1/4/2019,5/3/2019,,,,
Colorado,2018,1/10/2018,5/9/2018,,,,
Colorado,2016,13-Jan-16,11-May-16,,,,
Colorado,2015,7-Jan-15,6-May-15,,,,
Colorado,2014,"Jan. 8, 2014",7-May-14,,,,
Colorado,2017,"January 11, 2017","May 10, 2017",,,,
Connecticut,2019,1/9/2019,6/5/2019,,,,
Connecticut,2018,2/7/2018,5/9/2018,,,,
Connecticut,2016,3-Feb-16,4-May-16,,,,
Connecticut,2015,7-Jan-15,3-Jun-15,,,,
Connecticut,2014,"Feb. 5, 2014",7-May-14,,,,
Connecticut,2017,"January 4, 2017","June 7, 2017",,,,
Delaware,2019,1/8/2019,6/30/2019,,,,
Delaware,2018,1/9/2018,7/1/2018,,,,
Delaware,2016,12-Jan-16,30-Jun-16,,,,
Delaware,2015,13-Jan-15,30-Jun-15,,,,
Delaware,2014,14-Jan-14,30-Jun-14,,,,
Delaware,2017,"January 10, 2017","June 30, 2017",,,,
Florida,2019,3/5/2019,5/4/2019,,,,
Florida,2018,1/9/2018,3/11/2018,,,,
Florida,2016,12-Jan-16,11-Mar-16,,,,
Florida,2015,3-Mar-15,1-May-15,,,,
Florida,2014,4-Mar-14,2-May-14,,,,
Florida,2017,"March 7, 2017","May 8, 2017",,,,
Georgia,2019,1/14/2019,4/2/2019,,,,
Georgia,2018,1/8/2018,3/29/2018,,,,
Georgia,2016,11-Jan-16,25-Mar-16,,,,
Georgia,2015,12-Jan-15,2-Apr-15,,,,
Georgia,2014,13-Jan-14,20-Mar-14,,,,
Georgia,2017,"January 9, 2017","March 31, 2017",,,,
Hawaii,2018,1/17/2018,5/3/2018,,,,
Hawaii,2016,20-Jan-16,5-May-16,,,,
Hawaii,2015,21-Jan-15,7-May-15,,,,
Hawaii,2014,15-Jan-14,1-May-14,,,,
Hawaii,2019,16-Jan-19,2-May-19,,,,
Hawaii,2017,"January 18, 2017","May 4, 2017",,,,
Idaho,2018,1/8/2018,3/28/2018,,,,
Idaho,2016,11-Jan-16,25-Mar-16,,,,
Idaho,2015,12-Jan-15,11-Apr-15,,,,
Idaho,2014,6-Jan-14,20-Mar-14,,,,
Idaho,2019,7-Jan-19,11-Apr-19,,,,
Idaho,2017,"January 9, 2017","March 29, 2017",,,,
Illinois,2019,1/10/2019,5/31/2018,,,,
Illinois,2018,8-Jan-18,3/23/2018,,,,
Illinois,2016,13-Jan-16,5/31/2016,,,,
Illinois,2015,14-Jan-15,12/7/2015,,,,
Illinois,2014,29-Jan-14,31-May-14,,,,
Illinois,2019,9-Jan-19,2-Jun-19,,,,
Illinois,2017,"January 11, 2017","May 31, 2017",,,,
Indiana,2018,1/3/2018,3/14/2018,,,,
Indiana,2016,5-Jan-16,10-Mar-16,,,,
Indiana,2015,6-Jan-15,29-Apr-15,,,,
Indiana,2014,6-Jan-14,13-Mar-14,,,,
Indiana,2019,3-Jan-19,24-Apr-19,,,,
Indiana,2017,"January 3, 2017","April 22, 2017",,,,
Iowa,2018,1/8/2018,5/7/2018,,,,
Iowa,2016,11-Jan-16,29-Apr-16,,,,
Iowa,2015,12-Jan-15,6-Jun-15,,,,
Iowa,2014,13-Jan-14,1-May-14,,,,
Iowa,2019,14-Jan-19,27-Apr-19,,,,
Iowa,2017,"January 9, 2017","April 22, 2017",,,,
Kansas,2018,1/8/2018,5/5/2018,,,,
Kansas,2016,11-Jan-16,1-Jun-16,,,,
Kansas,2015,12-Jan-15,12-Jun-15,,,,
Kansas,2014,13-Jan-14,30-May-14,,,,
